ano;mes;uo;pessoal
2010;1;1071;509516,49
2010;1;1081;3634439,11
2010;1;1101;316690,75
2010;1;1111;53200,24
2010;1;1141;18831,24
2010;1;1161;19256,58
2010;1;1191;47839933,3
2010;1;1221;454559,97
2010;1;1231;353496,26
2010;1;1251;289731443,8
2010;1;1261;290588773,1
2010;1;1271;632305,01
2010;1;1301;594036,3
2010;1;1321;15292123,66
2010;1;1371;962047,83
2010;1;1401;24327941,21
2010;1;1411;198861,22
2010;1;1451;35113968,17
2010;1;1461;577260,65
2010;1;1471;784475,35
2010;1;1481;1849583,24
2010;1;1491;2098025,33
2010;1;1501;4255153,74
2010;1;1511;47058861,11
2010;1;1521;440010,08
2010;1;1531;446208,08
2010;1;1541;343258,46
2010;1;1941;7784719,49
2010;1;2011;15077447,93
2010;1;2041;172658,79
2010;1;2061;1092298,97
2010;1;2071;234646,58
2010;1;2081;585769,84
2010;1;2091;799995,87
2010;1;2101;2917630,53
2010;1;2111;422038,93
2010;1;2121;40224085,96
2010;1;2141;454967,75
2010;1;2151;479891,8
2010;1;2161;123453,29
2010;1;2171;124336,19
2010;1;2181;1010131,69
2010;1;2201;409782,78
2010;1;2211;105846,06
2010;1;2231;150191,87
2010;1;2241;447825,39
2010;1;2251;752424,01
2010;1;2261;2257602,2
2010;1;2271;30135483,06
2010;1;2281;154501,83
2010;1;2301;10645714,16
2010;1;2311;9303215,77
2010;1;2321;5228043,54
2010;1;2331;655861,01
2010;1;2351;3052391,89
2010;1;2371;4636250,21
2010;1;2381;183575,73
2010;1;2391;859926,78
2010;1;2401;195797,65
2010;1;2411;218521,63
2010;1;2421;202923,86
2010;1;3041;11133109,73
2010;1;3051;4595365,68
2010;1;3151;411527,34
2010;1;4291;211536,79
2010;1;4461;343962482,2
2010;2;1071;475505,44
2010;2;1081;3923512,3
2010;2;1101;311991,34
2010;2;1111;55489,05
2010;2;1141;20839,84
2010;2;1161;22078,92
2010;2;1191;45659703,97
2010;2;1221;449834,74
2010;2;1231;336313,13
2010;2;1251;289343476,6
2010;2;1261;255952269,2
2010;2;1271;591394,86
2010;2;1301;615690,29
2010;2;1321;14258091,69
2010;2;1371;936239,98
2010;2;1401;24847317,58
2010;2;1411;208591,65
2010;2;1451;34952500,03
2010;2;1461;544918,49
2010;2;1471;681419,11
2010;2;1481;1712621,04
2010;2;1491;1930554,11
2010;2;1501;4039867,43
2010;2;1511;47306891,81
2010;2;1521;385959,15
2010;2;1531;410696,77
2010;2;1541;395633,41
2010;2;1941;7801654,04
2010;2;2011;13300084,21
2010;2;2041;163883,78
2010;2;2061;1013931,04
2010;2;2071;185700,81
2010;2;2081;568799,03
2010;2;2091;764712,05
2010;2;2101;2622672,68
2010;2;2111;382476,36
2010;2;2121;41224861,31
2010;2;2141;470973,56
2010;2;2151;501819,15
2010;2;2161;97576,45
2010;2;2171;113844,22
2010;2;2181;826418,46
2010;2;2201;419314,88
2010;2;2211;96341,24
2010;2;2231;136424,07
2010;2;2241;526558,28
2010;2;2251;722744,19
2010;2;2261;2133927,42
2010;2;2271;29019494,22
2010;2;2281;158494,53
2010;2;2301;10169354,11
2010;2;2311;7864170,65
2010;2;2321;3743771,11
2010;2;2331;650861,37
2010;2;2351;2868760,37
2010;2;2371;4446471,75
2010;2;2381;179279,85
2010;2;2391;1030374,78
2010;2;2401;184191,93
2010;2;2411;212380,93
2010;2;2421;187759,33
2010;2;3041;12203800,97
2010;2;3051;4171485,01
2010;2;3151;369312,58
2010;2;4291;343413,21
2010;2;4461;341572933,1
2010;3;1071;477762,99
2010;3;1081;3179305,12
2010;3;1101;296478,11
2010;3;1111;52890,4
2010;3;1141;20704,57
2010;3;1161;19538,78
2010;3;1191;50566505,38
2010;3;1221;414871,58
2010;3;1231;343482,88
2010;3;1251;287055612,8
2010;3;1261;272809378,7
2010;3;1271;619112,87
2010;3;1301;605028,35
2010;3;1321;14208412,21
2010;3;1371;939006,88
2010;3;1401;26166072,55
2010;3;1411;199373,66
2010;3;1451;35087866,51
2010;3;1461;510082,08
2010;3;1471;358201,96
2010;3;1481;1783544,2
2010;3;1491;1941878,88
2010;3;1501;4189800,32
2010;3;1511;48189343,17
2010;3;1521;398862,59
2010;3;1531;404377,56
2010;3;1541;346045,64
2010;3;1941;7587742,07
2010;3;2011;13148025,85
2010;3;2041;162879,84
2010;3;2061;1068085,24
2010;3;2071;258914,65
2010;3;2081;602069,25
2010;3;2091;768331,43
2010;3;2101;2603493,3
2010;3;2111;384975,7
2010;3;2121;39719028,94
2010;3;2141;496839,77
2010;3;2151;514113,67
2010;3;2161;109239,9
2010;3;2171;114917,99
2010;3;2181;828424,19
2010;3;2201;397696,93
2010;3;2211;95495,26
2010;3;2231;136519
2010;3;2241;419142,42
2010;3;2251;745274,68
2010;3;2261;2172297,16
2010;3;2271;28439990,93
2010;3;2281;166832,81
2010;3;2301;10441806,57
2010;3;2311;9042808,87
2010;3;2321;3958089,35
2010;3;2331;653027,14
2010;3;2351;2907945,12
2010;3;2371;4393896,98
2010;3;2381;172791,15
2010;3;2391;818039,49
2010;3;2401;188076,79
2010;3;2411;207388,99
2010;3;2421;181643,09
2010;3;2431;272485,09
2010;3;2441;114062,11
2010;3;2451;50392,68
2010;3;3041;15855248,55
2010;3;3051;4154261,2
2010;3;3151;382656,69
2010;3;4291;462010,14
2010;3;4461;346919821,7
2010;4;1071;482179,62
2010;4;1081;3760668,2
2010;4;1101;310319,41
2010;4;1111;56479,51
2010;4;1141;18836,52
2010;4;1161;19539,66
2010;4;1191;46658916,91
2010;4;1221;400692,1
2010;4;1231;337387,23
2010;4;1251;286191616,3
2010;4;1261;271622624,9
2010;4;1271;565804,28
2010;4;1301;635180,73
2010;4;1321;14462534,36
2010;4;1371;919133,07
2010;4;1401;25117657,41
2010;4;1411;209435,79
2010;4;1451;35293393,43
2010;4;1461;511966,31
2010;4;1471;359050,05
2010;4;1481;1911089,26
2010;4;1491;1907051,31
2010;4;1501;3993795,33
2010;4;1511;45725429
2010;4;1521;407082,6
2010;4;1531;417238,4
2010;4;1541;326340,04
2010;4;1941;7998650,6
2010;4;2011;13047363,76
2010;4;2041;153535,63
2010;4;2061;1099007,09
2010;4;2071;215807,11
2010;4;2081;556539,88
2010;4;2091;739847,75
2010;4;2101;2633330,2
2010;4;2111;385799,25
2010;4;2121;40172456,08
2010;4;2141;485313,58
2010;4;2151;512909,4
2010;4;2161;116048,92
2010;4;2171;102838,62
2010;4;2181;832198,18
2010;4;2201;406062,17
2010;4;2211;96022,38
2010;4;2231;139058,77
2010;4;2241;545406,09
2010;4;2251;728101,2
2010;4;2261;2168948,39
2010;4;2271;28328000,27
2010;4;2281;165143,69
2010;4;2301;10822640,06
2010;4;2311;8543358,38
2010;4;2321;3831508,05
2010;4;2331;661792,95
2010;4;2351;2908953,57
2010;4;2371;4430956,04
2010;4;2381;157193,45
2010;4;2391;804163,7
2010;4;2401;173406,59
2010;4;2411;205707,38
2010;4;2421;182276,32
2010;4;2431;241918,03
2010;4;2441;113576,39
2010;4;2451;43349,05
2010;4;3041;9868426,45
2010;4;3051;4312753,06
2010;4;3151;382386,62
2010;4;4291;419332,3
2010;4;4461;339686268,8
2010;5;1071;562978,7
2010;5;1081;5545110,85
2010;5;1101;327801,64
2010;5;1111;53726,51
2010;5;1141;20558,72
2010;5;1161;24246,3
2010;5;1191;50305799,27
2010;5;1221;427499,31
2010;5;1231;356335,5
2010;5;1251;335828958,4
2010;5;1261;301448926,3
2010;5;1271;632446,7
2010;5;1301;741382,68
2010;5;1321;15973295,04
2010;5;1371;1033889,02
2010;5;1401;30009962,7
2010;5;1411;237734,59
2010;5;1451;40231694,95
2010;5;1461;715948,49
2010;5;1471;378610,24
2010;5;1481;1952529,98
2010;5;1491;2168434,36
2010;5;1501;4425898,99
2010;5;1511;53002509,57
2010;5;1521;436613,38
2010;5;1531;447370,13
2010;5;1541;356244,89
2010;5;1941;8395163,82
2010;5;2011;13913390,42
2010;5;2041;161308,51
2010;5;2061;1261435,93
2010;5;2071;267530,14
2010;5;2081;613871,36
2010;5;2091;918651,46
2010;5;2101;3360974,95
2010;5;2111;420173,24
2010;5;2121;46283002,62
2010;5;2141;519915,58
2010;5;2151;576510,22
2010;5;2161;123315,63
2010;5;2171;112150,41
2010;5;2181;904845,18
2010;5;2201;431274,57
2010;5;2211;92638,69
2010;5;2231;143299,66
2010;5;2241;620666,93
2010;5;2251;789582,84
2010;5;2261;2281535,11
2010;5;2271;31042203,09
2010;5;2281;195034,58
2010;5;2301;11721129,12
2010;5;2311;9438322,43
2010;5;2321;4051670,59
2010;5;2331;721095,02
2010;5;2351;3332679,18
2010;5;2371;4812891,82
2010;5;2381;189308,6
2010;5;2391;1162887,19
2010;5;2401;193216,51
2010;5;2411;221012,2
2010;5;2421;194085,13
2010;5;2431;251797,04
2010;5;2441;125634,24
2010;5;2451;57506,19
2010;5;3041;12889298,1
2010;5;3051;4250935,58
2010;5;3151;424883,45
2010;5;4291;422333
2010;5;4461;376070527,8
2010;6;1071;547736,56
2010;6;1081;4742439,6
2010;6;1101;326395,8
2010;6;1111;51192,68
2010;6;1141;20476,94
2010;6;1161;23708,59
2010;6;1191;51984029,53
2010;6;1221;415900,9
2010;6;1231;355885,6
2010;6;1251;336568094,2
2010;6;1261;329667078,6
2010;6;1271;615452,38
2010;6;1301;653727,65
2010;6;1321;15978735,03
2010;6;1371;1016921,26
2010;6;1401;29736255,02
2010;6;1411;238670,47
2010;6;1451;40472995,03
2010;6;1461;553186,18
2010;6;1471;380185,13
2010;6;1481;1951187,39
2010;6;1491;2177531,5
2010;6;1501;4544503,5
2010;6;1511;51843090,72
2010;6;1521;435443,53
2010;6;1531;441075,4
2010;6;1541;386889,01
2010;6;1941;8791936,97
2010;6;2011;14382240,16
2010;6;2041;160252,43
2010;6;2061;1293456,52
2010;6;2071;230811,07
2010;6;2081;604192,05
2010;6;2091;970124,53
2010;6;2101;3037185,25
2010;6;2111;419303,72
2010;6;2121;46249530,1
2010;6;2141;509963,89
2010;6;2151;569612,04
2010;6;2161;125252,64
2010;6;2171;112812,61
2010;6;2181;883664,44
2010;6;2201;428670,13
2010;6;2211;97559,78
2010;6;2231;143504,83
2010;6;2241;539447,95
2010;6;2251;793255,3
2010;6;2261;2378467,14
2010;6;2271;33156143,38
2010;6;2281;174829,23
2010;6;2301;11330279,99
2010;6;2311;9416517,84
2010;6;2321;4108537,86
2010;6;2331;737179,56
2010;6;2351;3221528,64
2010;6;2371;4841455,41
2010;6;2381;183910,73
2010;6;2391;845683,92
2010;6;2401;193646,52
2010;6;2411;230079,05
2010;6;2421;204139,11
2010;6;2431;252128,98
2010;6;2441;132070,66
2010;6;2451;61338,36
2010;6;3041;12820843,49
2010;6;3051;4348979,41
2010;6;3151;437536,67
2010;6;4291;420093,06
2010;6;4461;381752132,4
2010;7;1071;560137,74
2010;7;1081;3811209,48
2010;7;1101;326238,51
